,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Bonferroni Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Bonferroni Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9193027618709865,"{'CI': array([0.86169799, 0.9792736 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84852466, 0.99368671]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9252398602030869,"{'CI': array([0.86765167, 0.98518752]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86121581, 0.99219364]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"Coagulation defects, purpura and other haemorrhagic conditions|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0558021535322657,"{'CI': array([1.01144777, 1.10148051]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00124456, 1.11237676]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.941871834644811,"{'CI': array([0.90012864, 0.98483149]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89543672, 0.98981719]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0183006891458868,"{'CI': array([1.00538353, 1.03132919]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00237564, 1.0343953 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9361510962746811,"{'CI': array([0.92355517, 0.94885579]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92212427, 0.95031294]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Noninfective enteritis and colitis|diseases of the digestive system$M$41-60,diseases of the digestive system,1.0506609831007645,"{'CI': array([1.01579158, 1.08634597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00774131, 1.09482302]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9354213231062085,"{'CI': array([0.9021619 , 0.96945158]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8984123 , 0.97338728]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$41-60","diseases of the genitourinary system: pelvis, genitals and breasts",0.9654966391056848,"{'CI': array([0.93909924, 0.9923724 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93298642, 0.99873546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9395432686676649,"{'CI': array([0.91290125, 0.96667695]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90989038, 0.9698065 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Renal failure|diseases of the genitourinary system: urinary system$M$11-20,diseases of the genitourinary system: urinary system,1.178874124267185,"{'CI': array([1.036022  , 1.33582875]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00425552, 1.3750376 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8245565087927803,"{'CI': array([0.71188942, 0.94698504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.69953794, 0.96170935]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Arthrosis|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,1.0386581095061374,"{'CI': array([1.00785855, 1.07009481]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00073693, 1.07754978]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9365293325672149,"{'CI': array([0.90856421, 0.96503723]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90540538, 0.96832708]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Other diseases of pleura|diseases of the respiratory system$M$41-60,diseases of the respiratory system,1.061524893640808,"{'CI': array([1.02705212, 1.09679171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01909184, 1.10516747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9554228793150171,"{'CI': array([0.92280829, 0.98877325]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91913025, 0.99262891]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Persons with potential health hazards related to family and personal history and certain conditions influencing health status|external causes of morbidity and mortality$M$61-,external causes of morbidity and mortality,1.0363428147362161,"{'CI': array([1.01222548, 1.06084886]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00663428, 1.0666434 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9458224730068338,"{'CI': array([0.92275828, 0.96925274]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92014824, 0.97195114]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Head|injury$M$0-10,injury,0.8545186707996512,"{'CI': array([0.77175979, 0.94237333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.75302273, 0.96378736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8952909960284551,"{'CI': array([0.80744158, 0.98882037]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79772768, 0.99991028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
10,Circulatory and respiratory systems|symptoms and signs$F$11-20,symptoms and signs,1.089992715746143,"{'CI': array([1.0220177 , 1.16109529]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00651599, 1.17823615]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.925988684246931,"{'CI': array([0.86590684, 0.98864229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85919812, 0.99597266]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
11,Urinary system|symptoms and signs$M$61-,symptoms and signs,1.0572325315406539,"{'CI': array([1.01836657, 1.09711088]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00940702, 1.10660025]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9522651720894267,"{'CI': array([0.91524456, 0.99023598]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91107622, 0.99463375]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
